Frame,Visibility,X,Y
0,1,424,397
1,1,484,381
2,1,527,366
3,1,559,351
4,1,600,338
5,1,641,329
6,1,676,322
7,1,704,311
8,1,734,301
9,1,754,295
10,1,780,286
11,1,806,281
12,1,832,273
13,1,858,271
14,1,873,268
15,1,899,266
16,1,918,261
17,1,943,265
18,1,962,263
19,1,989,263
20,1,1004,262
21,1,1024,268
22,1,1045,271
23,1,1062,271
24,1,1075,277
25,1,1091,278
26,1,1107,286
27,1,1124,288
28,1,1138,289
29,1,1148,296
30,1,1164,305
31,1,1182,311
32,1,1192,320
33,1,1212,332
34,1,1233,344
35,1,1252,355
36,1,1272,372
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,1272,286
43,1,1257,254
44,1,1242,225
45,1,1233,196
46,1,1229,164
47,1,1219,139
48,1,1220,114
49,1,1208,89
50,1,1205,66
51,1,1203,40
52,1,1200,23
53,1,1200,9
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,1,1091,6
79,1,1087,22
80,1,1081,34
81,1,1072,59
82,1,1066,82
83,1,1055,103
84,1,1051,126
85,1,1044,155
86,1,1037,188
87,1,1034,213
88,1,1031,239
89,1,1026,270
90,1,1020,308
91,1,1012,337
92,1,1008,367
93,1,1006,402
94,1,1006,433
95,1,1008,406
96,1,1006,382
97,1,1009,349
98,1,1008,325
99,1,1010,300
100,1,1011,277
101,1,1013,248
102,1,1010,230
103,1,1008,211
104,1,1009,190
105,1,1011,176
106,1,1020,164
107,1,1016,143
108,1,1017,132
109,1,1018,124
110,1,1018,116
111,1,1023,108
112,1,1026,100
113,1,1031,96
114,1,1036,90
115,1,1032,92
116,1,1039,90
117,1,1042,92
118,1,1048,96
119,1,1049,102
120,1,1052,109
121,1,1055,116
122,1,1065,134
123,1,1074,146
124,1,1077,165
125,1,1090,179
126,1,1097,198
127,1,1108,226
128,1,1119,248
129,1,1137,276
130,1,1148,304
131,1,1162,333
132,1,1185,368
133,1,1204,405
134,1,1223,433
135,1,1143,430
136,1,1070,426
137,1,1018,426
138,1,953,420
139,1,899,423
140,1,845,431
141,1,800,429
142,1,743,435
143,1,702,451
144,1,658,469
145,1,626,477
146,1,586,490
147,1,552,503
148,1,514,525
149,1,491,541
